candidate_bus,peak_time,aggregate_depot_P_MW,aggregate_depot_Q_Mvar,feasible,min_voltage_pu,max_line_loading_percent,max_trafo_loading_percent,total_losses_MW,failure_reason,screening_score,rank
1,2026-01-14 17:00:00+00:00,4.3501263248,1.4298173784819044,True,0.9922357428047955,27.68264501026698,61.478384450122356,0.07309945882090071,none,104.23523253768387,1
12,2026-01-14 17:00:00+00:00,4.3501263248,1.4298173784819044,True,0.9945648460697386,34.19426562390464,62.31713642435657,0.060012315954983894,none,107.94778757402099,2
13,2026-01-14 17:00:00+00:00,4.3501263248,1.4298173784819044,True,0.9752506613302021,69.89304273192444,59.58869887521686,0.22708599161409043,none,176.93967943834824,3
14,2026-01-14 17:00:00+00:00,4.3501263248,1.4298173784819044,True,0.9620537006391227,63.37822839270133,57.7820072010606,0.30440720290699697,none,189.54725524533896,4
2,2026-01-14 17:00:00+00:00,4.3501263248,1.4298173784819044,True,0.9792244043040358,93.77212924889986,59.03690530196377,0.18561374139517162,none,192.146004386345,5
8,2026-01-14 17:00:00+00:00,4.3501263248,1.4298173784819044,True,0.9570862420011472,70.30161050592166,56.50590928892236,0.3353006513774376,none,203.25134293144055,6
3,2026-01-14 17:00:00+00:00,4.3501263248,1.4298173784819044,True,0.9580418838863921,74.16338746753381,55.68377089544201,0.32685139981885825,none,204.4904144584695,7
4,2026-01-14 17:00:00+00:00,4.3501263248,1.4298173784819044,True,0.9547013551253791,74.45354086926204,55.991109825151334,0.3438965353317067,none,210.13294910220492,8
11,2026-01-14 17:00:00+00:00,4.3501263248,1.4298173784819044,True,0.9529931388069038,72.53393465080285,56.15328546829845,0.35133873385992015,none,210.82795469818947,9
10,2026-01-14 17:00:00+00:00,4.3501263248,1.4298173784819044,True,0.9527208045571119,72.08334596766446,56.25149739890693,0.3527319948638876,none,210.8872382958482,10
7,2026-01-14 17:00:00+00:00,4.3501263248,1.4298173784819044,True,0.9482208093638892,71.90652592232377,56.391487329631516,0.3705409165706087,none,217.13129554512696,11
6,2026-01-14 17:00:00+00:00,4.3501263248,1.4298173784819044,True,0.9477981208915128,72.09566053679528,56.3647110915803,0.3724213645282018,none,217.90438718968292,12
9,2026-01-14 17:00:00+00:00,4.3501263248,1.4298173784819044,True,0.954935567792984,85.7828235423034,56.442870654283574,0.34399924961016753,none,221.69005136461968,13
5,2026-01-14 17:00:00+00:00,4.3501263248,1.4298173784819044,True,0.9509958852772227,81.02560776018116,56.11480970309803,0.35943850627986473,none,222.08838281404297,14
