"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2024 05:00:00 - 03/01/2024 06:00:00","BZN|SE1","Without Sequence","42.58","",""
"03/01/2024 06:00:00 - 03/01/2024 07:00:00","BZN|SE1","Without Sequence","49.44","",""
"03/01/2024 07:00:00 - 03/01/2024 08:00:00","BZN|SE1","Without Sequence","53.53","",""
"03/01/2024 08:00:00 - 03/01/2024 09:00:00","BZN|SE1","Without Sequence","63.48","",""
"03/01/2024 09:00:00 - 03/01/2024 10:00:00","BZN|SE1","Without Sequence","64.99","",""
"03/01/2024 10:00:00 - 03/01/2024 11:00:00","BZN|SE1","Without Sequence","60.19","",""
"03/01/2024 11:00:00 - 03/01/2024 12:00:00","BZN|SE1","Without Sequence","59.96","",""
"03/01/2024 12:00:00 - 03/01/2024 13:00:00","BZN|SE1","Without Sequence","59.80","",""
"03/01/2024 13:00:00 - 03/01/2024 14:00:00","BZN|SE1","Without Sequence","58.86","",""
"03/01/2024 14:00:00 - 03/01/2024 15:00:00","BZN|SE1","Without Sequence","64.99","",""
"03/01/2024 15:00:00 - 03/01/2024 16:00:00","BZN|SE1","Without Sequence","68.83","",""
"03/01/2024 16:00:00 - 03/01/2024 17:00:00","BZN|SE1","Without Sequence","73.59","",""
"03/01/2024 17:00:00 - 03/01/2024 18:00:00","BZN|SE1","Without Sequence","82.28","",""
"03/01/2024 18:00:00 - 03/01/2024 19:00:00","BZN|SE1","Without Sequence","82.97","",""
"03/01/2024 19:00:00 - 03/01/2024 20:00:00","BZN|SE1","Without Sequence","79.03","",""
"03/01/2024 20:00:00 - 03/01/2024 21:00:00","BZN|SE1","Without Sequence","73.23","",""
"03/01/2024 21:00:00 - 03/01/2024 22:00:00","BZN|SE1","Without Sequence","67.41","",""
"03/01/2024 22:00:00 - 03/01/2024 23:00:00","BZN|SE1","Without Sequence","65.00","",""
"03/01/2024 23:00:00 - 04/01/2024 00:00:00","BZN|SE1","Without Sequence","58.12","",""
"04/01/2024 00:00:00 - 04/01/2024 01:00:00","BZN|SE1","Without Sequence","58.71","",""
"04/01/2024 01:00:00 - 04/01/2024 02:00:00","BZN|SE1","Without Sequence","53.60","",""
"04/01/2024 02:00:00 - 04/01/2024 03:00:00","BZN|SE1","Without Sequence","54.44","",""
"04/01/2024 03:00:00 - 04/01/2024 04:00:00","BZN|SE1","Without Sequence","55.18","",""
"04/01/2024 04:00:00 - 04/01/2024 05:00:00","BZN|SE1","Without Sequence","58.25","",""
"04/01/2024 05:00:00 - 04/01/2024 06:00:00","BZN|SE1","Without Sequence","59.15","",""
"04/01/2024 06:00:00 - 04/01/2024 07:00:00","BZN|SE1","Without Sequence","72.65","",""
"04/01/2024 07:00:00 - 04/01/2024 08:00:00","BZN|SE1","Without Sequence","85.02","",""
"04/01/2024 08:00:00 - 04/01/2024 09:00:00","BZN|SE1","Without Sequence","91.47","",""
"04/01/2024 09:00:00 - 04/01/2024 10:00:00","BZN|SE1","Without Sequence","94.20","",""
"04/01/2024 10:00:00 - 04/01/2024 11:00:00","BZN|SE1","Without Sequence","91.98","",""
"04/01/2024 11:00:00 - 04/01/2024 12:00:00","BZN|SE1","Without Sequence","90.40","",""
"04/01/2024 12:00:00 - 04/01/2024 13:00:00","BZN|SE1","Without Sequence","86.69","",""
"04/01/2024 13:00:00 - 04/01/2024 14:00:00","BZN|SE1","Without Sequence","85.96","",""
"04/01/2024 14:00:00 - 04/01/2024 15:00:00","BZN|SE1","Without Sequence","92.11","",""
"04/01/2024 15:00:00 - 04/01/2024 16:00:00","BZN|SE1","Without Sequence","98.62","",""
"04/01/2024 16:00:00 - 04/01/2024 17:00:00","BZN|SE1","Without Sequence","105.73","",""
"04/01/2024 17:00:00 - 04/01/2024 18:00:00","BZN|SE1","Without Sequence","133.23","",""
"04/01/2024 18:00:00 - 04/01/2024 19:00:00","BZN|SE1","Without Sequence","144.65","",""
"04/01/2024 19:00:00 - 04/01/2024 20:00:00","BZN|SE1","Without Sequence","121.37","",""
"04/01/2024 20:00:00 - 04/01/2024 21:00:00","BZN|SE1","Without Sequence","100.58","",""
"04/01/2024 21:00:00 - 04/01/2024 22:00:00","BZN|SE1","Without Sequence","97.11","",""
"04/01/2024 22:00:00 - 04/01/2024 23:00:00","BZN|SE1","Without Sequence","94.28","",""
"04/01/2024 23:00:00 - 05/01/2024 00:00:00","BZN|SE1","Without Sequence","88.83","",""
"05/01/2024 00:00:00 - 05/01/2024 01:00:00","BZN|SE1","Without Sequence","82.57","",""
"05/01/2024 01:00:00 - 05/01/2024 02:00:00","BZN|SE1","Without Sequence","83.09","",""
"05/01/2024 02:00:00 - 05/01/2024 03:00:00","BZN|SE1","Without Sequence","80.00","",""
"05/01/2024 03:00:00 - 05/01/2024 04:00:00","BZN|SE1","Without Sequence","80.17","",""
"05/01/2024 04:00:00 - 05/01/2024 05:00:00","BZN|SE1","Without Sequence","82.49","",""
"05/01/2024 05:00:00 - 05/01/2024 06:00:00","BZN|SE1","Without Sequence","88.14","",""
"05/01/2024 06:00:00 - 05/01/2024 07:00:00","BZN|SE1","Without Sequence","102.49","",""
"05/01/2024 07:00:00 - 05/01/2024 08:00:00","BZN|SE1","Without Sequence","131.96","",""
"05/01/2024 08:00:00 - 05/01/2024 09:00:00","BZN|SE1","Without Sequence","199.27","",""
"05/01/2024 09:00:00 - 05/01/2024 10:00:00","BZN|SE1","Without Sequence","238.31","",""
