"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"12/01/2024 04:00:00 - 12/01/2024 05:00:00","BZN|SE1","Without Sequence","44.12","",""
"12/01/2024 05:00:00 - 12/01/2024 06:00:00","BZN|SE1","Without Sequence","44.18","",""
"12/01/2024 06:00:00 - 12/01/2024 07:00:00","BZN|SE1","Without Sequence","43.94","",""
"12/01/2024 07:00:00 - 12/01/2024 08:00:00","BZN|SE1","Without Sequence","46.47","",""
"12/01/2024 08:00:00 - 12/01/2024 09:00:00","BZN|SE1","Without Sequence","46.44","",""
"12/01/2024 09:00:00 - 12/01/2024 10:00:00","BZN|SE1","Without Sequence","49.55","",""
"12/01/2024 10:00:00 - 12/01/2024 11:00:00","BZN|SE1","Without Sequence","52.18","",""
"12/01/2024 11:00:00 - 12/01/2024 12:00:00","BZN|SE1","Without Sequence","55.68","",""
"12/01/2024 12:00:00 - 12/01/2024 13:00:00","BZN|SE1","Without Sequence","62.39","",""
"12/01/2024 13:00:00 - 12/01/2024 14:00:00","BZN|SE1","Without Sequence","66.05","",""
"12/01/2024 14:00:00 - 12/01/2024 15:00:00","BZN|SE1","Without Sequence","69.63","",""
"12/01/2024 15:00:00 - 12/01/2024 16:00:00","BZN|SE1","Without Sequence","70.26","",""
"12/01/2024 16:00:00 - 12/01/2024 17:00:00","BZN|SE1","Without Sequence","69.19","",""
"12/01/2024 17:00:00 - 12/01/2024 18:00:00","BZN|SE1","Without Sequence","65.11","",""
"12/01/2024 18:00:00 - 12/01/2024 19:00:00","BZN|SE1","Without Sequence","63.79","",""
"12/01/2024 19:00:00 - 12/01/2024 20:00:00","BZN|SE1","Without Sequence","58.27","",""
"12/01/2024 20:00:00 - 12/01/2024 21:00:00","BZN|SE1","Without Sequence","53.82","",""
"12/01/2024 21:00:00 - 12/01/2024 22:00:00","BZN|SE1","Without Sequence","49.22","",""
"12/01/2024 22:00:00 - 12/01/2024 23:00:00","BZN|SE1","Without Sequence","48.07","",""
"12/01/2024 23:00:00 - 13/01/2024 00:00:00","BZN|SE1","Without Sequence","46.13","",""
"13/01/2024 00:00:00 - 13/01/2024 01:00:00","BZN|SE1","Without Sequence","49.69","",""
"13/01/2024 01:00:00 - 13/01/2024 02:00:00","BZN|SE1","Without Sequence","46.63","",""
"13/01/2024 02:00:00 - 13/01/2024 03:00:00","BZN|SE1","Without Sequence","44.00","",""
"13/01/2024 03:00:00 - 13/01/2024 04:00:00","BZN|SE1","Without Sequence","42.47","",""
"13/01/2024 04:00:00 - 13/01/2024 05:00:00","BZN|SE1","Without Sequence","42.54","",""
"13/01/2024 05:00:00 - 13/01/2024 06:00:00","BZN|SE1","Without Sequence","43.53","",""
"13/01/2024 06:00:00 - 13/01/2024 07:00:00","BZN|SE1","Without Sequence","45.62","",""
"13/01/2024 07:00:00 - 13/01/2024 08:00:00","BZN|SE1","Without Sequence","51.20","",""
"13/01/2024 08:00:00 - 13/01/2024 09:00:00","BZN|SE1","Without Sequence","57.93","",""
"13/01/2024 09:00:00 - 13/01/2024 10:00:00","BZN|SE1","Without Sequence","59.17","",""
"13/01/2024 10:00:00 - 13/01/2024 11:00:00","BZN|SE1","Without Sequence","59.21","",""
"13/01/2024 11:00:00 - 13/01/2024 12:00:00","BZN|SE1","Without Sequence","58.37","",""
"13/01/2024 12:00:00 - 13/01/2024 13:00:00","BZN|SE1","Without Sequence","56.20","",""
"13/01/2024 13:00:00 - 13/01/2024 14:00:00","BZN|SE1","Without Sequence","56.36","",""
"13/01/2024 14:00:00 - 13/01/2024 15:00:00","BZN|SE1","Without Sequence","59.17","",""
"13/01/2024 15:00:00 - 13/01/2024 16:00:00","BZN|SE1","Without Sequence","65.73","",""
"13/01/2024 16:00:00 - 13/01/2024 17:00:00","BZN|SE1","Without Sequence","65.69","",""
"13/01/2024 17:00:00 - 13/01/2024 18:00:00","BZN|SE1","Without Sequence","62.08","",""
"13/01/2024 18:00:00 - 13/01/2024 19:00:00","BZN|SE1","Without Sequence","56.07","",""
"13/01/2024 19:00:00 - 13/01/2024 20:00:00","BZN|SE1","Without Sequence","55.79","",""
"13/01/2024 20:00:00 - 13/01/2024 21:00:00","BZN|SE1","Without Sequence","56.29","",""
"13/01/2024 21:00:00 - 13/01/2024 22:00:00","BZN|SE1","Without Sequence","59.15","",""
"13/01/2024 22:00:00 - 13/01/2024 23:00:00","BZN|SE1","Without Sequence","62.76","",""
"13/01/2024 23:00:00 - 14/01/2024 00:00:00","BZN|SE1","Without Sequence","61.65","",""
"14/01/2024 00:00:00 - 14/01/2024 01:00:00","BZN|SE1","Without Sequence","64.02","",""
"14/01/2024 01:00:00 - 14/01/2024 02:00:00","BZN|SE1","Without Sequence","62.11","",""
"14/01/2024 02:00:00 - 14/01/2024 03:00:00","BZN|SE1","Without Sequence","62.93","",""
"14/01/2024 03:00:00 - 14/01/2024 04:00:00","BZN|SE1","Without Sequence","64.01","",""
"14/01/2024 04:00:00 - 14/01/2024 05:00:00","BZN|SE1","Without Sequence","64.67","",""
"14/01/2024 05:00:00 - 14/01/2024 06:00:00","BZN|SE1","Without Sequence","65.20","",""
"14/01/2024 06:00:00 - 14/01/2024 07:00:00","BZN|SE1","Without Sequence","67.31","",""
"14/01/2024 07:00:00 - 14/01/2024 08:00:00","BZN|SE1","Without Sequence","71.66","",""
"14/01/2024 08:00:00 - 14/01/2024 09:00:00","BZN|SE1","Without Sequence","76.74","",""
"14/01/2024 09:00:00 - 14/01/2024 10:00:00","BZN|SE1","Without Sequence","81.14","",""
"14/01/2024 10:00:00 - 14/01/2024 11:00:00","BZN|SE1","Without Sequence","80.63","",""
"14/01/2024 11:00:00 - 14/01/2024 12:00:00","BZN|SE1","Without Sequence","81.84","",""
"14/01/2024 12:00:00 - 14/01/2024 13:00:00","BZN|SE1","Without Sequence","80.39","",""
"14/01/2024 13:00:00 - 14/01/2024 14:00:00","BZN|SE1","Without Sequence","77.04","",""
"14/01/2024 14:00:00 - 14/01/2024 15:00:00","BZN|SE1","Without Sequence","79.15","",""
"14/01/2024 15:00:00 - 14/01/2024 16:00:00","BZN|SE1","Without Sequence","80.13","",""
"14/01/2024 16:00:00 - 14/01/2024 17:00:00","BZN|SE1","Without Sequence","77.51","",""
"14/01/2024 17:00:00 - 14/01/2024 18:00:00","BZN|SE1","Without Sequence","75.05","",""
"14/01/2024 18:00:00 - 14/01/2024 19:00:00","BZN|SE1","Without Sequence","74.86","",""
"14/01/2024 19:00:00 - 14/01/2024 20:00:00","BZN|SE1","Without Sequence","73.96","",""
"14/01/2024 20:00:00 - 14/01/2024 21:00:00","BZN|SE1","Without Sequence","73.86","",""
"14/01/2024 21:00:00 - 14/01/2024 22:00:00","BZN|SE1","Without Sequence","73.70","",""
"14/01/2024 22:00:00 - 14/01/2024 23:00:00","BZN|SE1","Without Sequence","73.17","",""
"14/01/2024 23:00:00 - 15/01/2024 00:00:00","BZN|SE1","Without Sequence","66.89","",""
"15/01/2024 00:00:00 - 15/01/2024 01:00:00","BZN|SE1","Without Sequence","69.65","",""
"15/01/2024 01:00:00 - 15/01/2024 02:00:00","BZN|SE1","Without Sequence","66.05","",""
"15/01/2024 02:00:00 - 15/01/2024 03:00:00","BZN|SE1","Without Sequence","64.31","",""
"15/01/2024 03:00:00 - 15/01/2024 04:00:00","BZN|SE1","Without Sequence","62.04","",""
"15/01/2024 04:00:00 - 15/01/2024 05:00:00","BZN|SE1","Without Sequence","63.57","",""
"15/01/2024 05:00:00 - 15/01/2024 06:00:00","BZN|SE1","Without Sequence","70.57","",""
"15/01/2024 06:00:00 - 15/01/2024 07:00:00","BZN|SE1","Without Sequence","79.95","",""
"15/01/2024 07:00:00 - 15/01/2024 08:00:00","BZN|SE1","Without Sequence","83.84","",""
"15/01/2024 08:00:00 - 15/01/2024 09:00:00","BZN|SE1","Without Sequence","99.30","",""
"15/01/2024 09:00:00 - 15/01/2024 10:00:00","BZN|SE1","Without Sequence","99.99","",""
"15/01/2024 10:00:00 - 15/01/2024 11:00:00","BZN|SE1","Without Sequence","94.88","",""
"15/01/2024 11:00:00 - 15/01/2024 12:00:00","BZN|SE1","Without Sequence","90.26","",""
"15/01/2024 12:00:00 - 15/01/2024 13:00:00","BZN|SE1","Without Sequence","83.86","",""
"15/01/2024 13:00:00 - 15/01/2024 14:00:00","BZN|SE1","Without Sequence","82.15","",""
"15/01/2024 14:00:00 - 15/01/2024 15:00:00","BZN|SE1","Without Sequence","84.50","",""
"15/01/2024 15:00:00 - 15/01/2024 16:00:00","BZN|SE1","Without Sequence","89.44","",""
"15/01/2024 16:00:00 - 15/01/2024 17:00:00","BZN|SE1","Without Sequence","90.44","",""
"15/01/2024 17:00:00 - 15/01/2024 18:00:00","BZN|SE1","Without Sequence","87.38","",""
"15/01/2024 18:00:00 - 15/01/2024 19:00:00","BZN|SE1","Without Sequence","94.08","",""
"15/01/2024 19:00:00 - 15/01/2024 20:00:00","BZN|SE1","Without Sequence","94.02","",""
"15/01/2024 20:00:00 - 15/01/2024 21:00:00","BZN|SE1","Without Sequence","94.99","",""
"15/01/2024 21:00:00 - 15/01/2024 22:00:00","BZN|SE1","Without Sequence","88.71","",""
"15/01/2024 22:00:00 - 15/01/2024 23:00:00","BZN|SE1","Without Sequence","86.90","",""
"15/01/2024 23:00:00 - 16/01/2024 00:00:00","BZN|SE1","Without Sequence","85.74","",""
"16/01/2024 00:00:00 - 16/01/2024 01:00:00","BZN|SE1","Without Sequence","82.19","",""
"16/01/2024 01:00:00 - 16/01/2024 02:00:00","BZN|SE1","Without Sequence","81.40","",""
"16/01/2024 02:00:00 - 16/01/2024 03:00:00","BZN|SE1","Without Sequence","80.07","",""
"16/01/2024 03:00:00 - 16/01/2024 04:00:00","BZN|SE1","Without Sequence","78.26","",""
"16/01/2024 04:00:00 - 16/01/2024 05:00:00","BZN|SE1","Without Sequence","77.59","",""
"16/01/2024 05:00:00 - 16/01/2024 06:00:00","BZN|SE1","Without Sequence","83.45","",""
"16/01/2024 06:00:00 - 16/01/2024 07:00:00","BZN|SE1","Without Sequence","92.57","",""
"16/01/2024 07:00:00 - 16/01/2024 08:00:00","BZN|SE1","Without Sequence","100.21","",""
"16/01/2024 08:00:00 - 16/01/2024 09:00:00","BZN|SE1","Without Sequence","128.84","",""
"16/01/2024 09:00:00 - 16/01/2024 10:00:00","BZN|SE1","Without Sequence","126.06","",""
"16/01/2024 10:00:00 - 16/01/2024 11:00:00","BZN|SE1","Without Sequence","108.76","",""
"16/01/2024 11:00:00 - 16/01/2024 12:00:00","BZN|SE1","Without Sequence","100.78","",""
"16/01/2024 12:00:00 - 16/01/2024 13:00:00","BZN|SE1","Without Sequence","100.43","",""
"16/01/2024 13:00:00 - 16/01/2024 14:00:00","BZN|SE1","Without Sequence","94.65","",""
"16/01/2024 14:00:00 - 16/01/2024 15:00:00","BZN|SE1","Without Sequence","95.31","",""
"16/01/2024 15:00:00 - 16/01/2024 16:00:00","BZN|SE1","Without Sequence","101.57","",""
"16/01/2024 16:00:00 - 16/01/2024 17:00:00","BZN|SE1","Without Sequence","108.16","",""
"16/01/2024 17:00:00 - 16/01/2024 18:00:00","BZN|SE1","Without Sequence","102.99","",""
"16/01/2024 18:00:00 - 16/01/2024 19:00:00","BZN|SE1","Without Sequence","123.62","",""
"16/01/2024 19:00:00 - 16/01/2024 20:00:00","BZN|SE1","Without Sequence","111.77","",""
"16/01/2024 20:00:00 - 16/01/2024 21:00:00","BZN|SE1","Without Sequence","95.49","",""
"16/01/2024 21:00:00 - 16/01/2024 22:00:00","BZN|SE1","Without Sequence","86.21","",""
"16/01/2024 22:00:00 - 16/01/2024 23:00:00","BZN|SE1","Without Sequence","82.04","",""
"16/01/2024 23:00:00 - 17/01/2024 00:00:00","BZN|SE1","Without Sequence","77.69","",""
"17/01/2024 00:00:00 - 17/01/2024 01:00:00","BZN|SE1","Without Sequence","69.89","",""
"17/01/2024 01:00:00 - 17/01/2024 02:00:00","BZN|SE1","Without Sequence","69.36","",""
"17/01/2024 02:00:00 - 17/01/2024 03:00:00","BZN|SE1","Without Sequence","68.47","",""
"17/01/2024 03:00:00 - 17/01/2024 04:00:00","BZN|SE1","Without Sequence","67.56","",""
"17/01/2024 04:00:00 - 17/01/2024 05:00:00","BZN|SE1","Without Sequence","67.31","",""
"17/01/2024 05:00:00 - 17/01/2024 06:00:00","BZN|SE1","Without Sequence","67.28","",""
"17/01/2024 06:00:00 - 17/01/2024 07:00:00","BZN|SE1","Without Sequence","70.65","",""
"17/01/2024 07:00:00 - 17/01/2024 08:00:00","BZN|SE1","Without Sequence","79.94","",""
"17/01/2024 08:00:00 - 17/01/2024 09:00:00","BZN|SE1","Without Sequence","95.35","",""
"17/01/2024 09:00:00 - 17/01/2024 10:00:00","BZN|SE1","Without Sequence","102.87","",""
"17/01/2024 10:00:00 - 17/01/2024 11:00:00","BZN|SE1","Without Sequence","106.76","",""
"17/01/2024 11:00:00 - 17/01/2024 12:00:00","BZN|SE1","Without Sequence","96.28","",""
"17/01/2024 12:00:00 - 17/01/2024 13:00:00","BZN|SE1","Without Sequence","83.97","",""
"17/01/2024 13:00:00 - 17/01/2024 14:00:00","BZN|SE1","Without Sequence","78.48","",""
"17/01/2024 14:00:00 - 17/01/2024 15:00:00","BZN|SE1","Without Sequence","71.22","",""
"17/01/2024 15:00:00 - 17/01/2024 16:00:00","BZN|SE1","Without Sequence","67.45","",""
"17/01/2024 16:00:00 - 17/01/2024 17:00:00","BZN|SE1","Without Sequence","59.83","",""
"17/01/2024 17:00:00 - 17/01/2024 18:00:00","BZN|SE1","Without Sequence","56.76","",""
"17/01/2024 18:00:00 - 17/01/2024 19:00:00","BZN|SE1","Without Sequence","62.65","",""
"17/01/2024 19:00:00 - 17/01/2024 20:00:00","BZN|SE1","Without Sequence","63.00","",""
"17/01/2024 20:00:00 - 17/01/2024 21:00:00","BZN|SE1","Without Sequence","62.92","",""
"17/01/2024 21:00:00 - 17/01/2024 22:00:00","BZN|SE1","Without Sequence","59.94","",""
"17/01/2024 22:00:00 - 17/01/2024 23:00:00","BZN|SE1","Without Sequence","58.25","",""
"17/01/2024 23:00:00 - 18/01/2024 00:00:00","BZN|SE1","Without Sequence","58.70","",""
"18/01/2024 00:00:00 - 18/01/2024 01:00:00","BZN|SE1","Without Sequence","47.97","",""
"18/01/2024 01:00:00 - 18/01/2024 02:00:00","BZN|SE1","Without Sequence","49.26","",""
"18/01/2024 02:00:00 - 18/01/2024 03:00:00","BZN|SE1","Without Sequence","46.55","",""
"18/01/2024 03:00:00 - 18/01/2024 04:00:00","BZN|SE1","Without Sequence","44.95","",""
"18/01/2024 04:00:00 - 18/01/2024 05:00:00","BZN|SE1","Without Sequence","46.72","",""
"18/01/2024 05:00:00 - 18/01/2024 06:00:00","BZN|SE1","Without Sequence","47.56","",""
"18/01/2024 06:00:00 - 18/01/2024 07:00:00","BZN|SE1","Without Sequence","45.95","",""
"18/01/2024 07:00:00 - 18/01/2024 08:00:00","BZN|SE1","Without Sequence","45.46","",""
"18/01/2024 08:00:00 - 18/01/2024 09:00:00","BZN|SE1","Without Sequence","44.63","",""
"18/01/2024 09:00:00 - 18/01/2024 10:00:00","BZN|SE1","Without Sequence","44.97","",""
"18/01/2024 10:00:00 - 18/01/2024 11:00:00","BZN|SE1","Without Sequence","45.84","",""
"18/01/2024 11:00:00 - 18/01/2024 12:00:00","BZN|SE1","Without Sequence","46.20","",""
"18/01/2024 12:00:00 - 18/01/2024 13:00:00","BZN|SE1","Without Sequence","45.32","",""
"18/01/2024 13:00:00 - 18/01/2024 14:00:00","BZN|SE1","Without Sequence","45.80","",""
"18/01/2024 14:00:00 - 18/01/2024 15:00:00","BZN|SE1","Without Sequence","47.51","",""
"18/01/2024 15:00:00 - 18/01/2024 16:00:00","BZN|SE1","Without Sequence","47.69","",""
"18/01/2024 16:00:00 - 18/01/2024 17:00:00","BZN|SE1","Without Sequence","50.32","",""
"18/01/2024 17:00:00 - 18/01/2024 18:00:00","BZN|SE1","Without Sequence","51.73","",""
"18/01/2024 18:00:00 - 18/01/2024 19:00:00","BZN|SE1","Without Sequence","52.56","",""
"18/01/2024 19:00:00 - 18/01/2024 20:00:00","BZN|SE1","Without Sequence","53.36","",""
"18/01/2024 20:00:00 - 18/01/2024 21:00:00","BZN|SE1","Without Sequence","53.21","",""
"18/01/2024 21:00:00 - 18/01/2024 22:00:00","BZN|SE1","Without Sequence","52.65","",""
"18/01/2024 22:00:00 - 18/01/2024 23:00:00","BZN|SE1","Without Sequence","51.20","",""
"18/01/2024 23:00:00 - 19/01/2024 00:00:00","BZN|SE1","Without Sequence","52.37","",""
"19/01/2024 00:00:00 - 19/01/2024 01:00:00","BZN|SE1","Without Sequence","47.66","",""
"19/01/2024 01:00:00 - 19/01/2024 02:00:00","BZN|SE1","Without Sequence","48.07","",""
"19/01/2024 02:00:00 - 19/01/2024 03:00:00","BZN|SE1","Without Sequence","48.63","",""
"19/01/2024 03:00:00 - 19/01/2024 04:00:00","BZN|SE1","Without Sequence","49.82","",""
"19/01/2024 04:00:00 - 19/01/2024 05:00:00","BZN|SE1","Without Sequence","50.89","",""
"19/01/2024 05:00:00 - 19/01/2024 06:00:00","BZN|SE1","Without Sequence","50.49","",""
"19/01/2024 06:00:00 - 19/01/2024 07:00:00","BZN|SE1","Without Sequence","52.71","",""
"19/01/2024 07:00:00 - 19/01/2024 08:00:00","BZN|SE1","Without Sequence","56.30","",""
"19/01/2024 08:00:00 - 19/01/2024 09:00:00","BZN|SE1","Without Sequence","58.00","",""
"19/01/2024 09:00:00 - 19/01/2024 10:00:00","BZN|SE1","Without Sequence","61.18","",""
"19/01/2024 10:00:00 - 19/01/2024 11:00:00","BZN|SE1","Without Sequence","68.32","",""
"19/01/2024 11:00:00 - 19/01/2024 12:00:00","BZN|SE1","Without Sequence","72.13","",""
"19/01/2024 12:00:00 - 19/01/2024 13:00:00","BZN|SE1","Without Sequence","74.59","",""
"19/01/2024 13:00:00 - 19/01/2024 14:00:00","BZN|SE1","Without Sequence","75.15","",""
"19/01/2024 14:00:00 - 19/01/2024 15:00:00","BZN|SE1","Without Sequence","76.91","",""
"19/01/2024 15:00:00 - 19/01/2024 16:00:00","BZN|SE1","Without Sequence","80.16","",""
"19/01/2024 16:00:00 - 19/01/2024 17:00:00","BZN|SE1","Without Sequence","89.73","",""
"19/01/2024 17:00:00 - 19/01/2024 18:00:00","BZN|SE1","Without Sequence","106.59","",""
"19/01/2024 18:00:00 - 19/01/2024 19:00:00","BZN|SE1","Without Sequence","108.49","",""
"19/01/2024 19:00:00 - 19/01/2024 20:00:00","BZN|SE1","Without Sequence","85.10","",""
"19/01/2024 20:00:00 - 19/01/2024 21:00:00","BZN|SE1","Without Sequence","75.82","",""
"19/01/2024 21:00:00 - 19/01/2024 22:00:00","BZN|SE1","Without Sequence","73.01","",""
"19/01/2024 22:00:00 - 19/01/2024 23:00:00","BZN|SE1","Without Sequence","70.69","",""
"19/01/2024 23:00:00 - 20/01/2024 00:00:00","BZN|SE1","Without Sequence","66.69","",""
"20/01/2024 00:00:00 - 20/01/2024 01:00:00","BZN|SE1","Without Sequence","67.62","",""
"20/01/2024 01:00:00 - 20/01/2024 02:00:00","BZN|SE1","Without Sequence","65.01","",""
"20/01/2024 02:00:00 - 20/01/2024 03:00:00","BZN|SE1","Without Sequence","65.10","",""
"20/01/2024 03:00:00 - 20/01/2024 04:00:00","BZN|SE1","Without Sequence","63.34","",""
"20/01/2024 04:00:00 - 20/01/2024 05:00:00","BZN|SE1","Without Sequence","63.37","",""
"20/01/2024 05:00:00 - 20/01/2024 06:00:00","BZN|SE1","Without Sequence","63.26","",""
"20/01/2024 06:00:00 - 20/01/2024 07:00:00","BZN|SE1","Without Sequence","64.45","",""
"20/01/2024 07:00:00 - 20/01/2024 08:00:00","BZN|SE1","Without Sequence","67.48","",""
"20/01/2024 08:00:00 - 20/01/2024 09:00:00","BZN|SE1","Without Sequence","70.84","",""
"20/01/2024 09:00:00 - 20/01/2024 10:00:00","BZN|SE1","Without Sequence","75.08","",""
"20/01/2024 10:00:00 - 20/01/2024 11:00:00","BZN|SE1","Without Sequence","73.57","",""
"20/01/2024 11:00:00 - 20/01/2024 12:00:00","BZN|SE1","Without Sequence","72.51","",""
"20/01/2024 12:00:00 - 20/01/2024 13:00:00","BZN|SE1","Without Sequence","69.75","",""
"20/01/2024 13:00:00 - 20/01/2024 14:00:00","BZN|SE1","Without Sequence","67.48","",""
"20/01/2024 14:00:00 - 20/01/2024 15:00:00","BZN|SE1","Without Sequence","62.86","",""
"20/01/2024 15:00:00 - 20/01/2024 16:00:00","BZN|SE1","Without Sequence","57.33","",""
"20/01/2024 16:00:00 - 20/01/2024 17:00:00","BZN|SE1","Without Sequence","47.74","",""
"20/01/2024 17:00:00 - 20/01/2024 18:00:00","BZN|SE1","Without Sequence","44.91","",""
"20/01/2024 18:00:00 - 20/01/2024 19:00:00","BZN|SE1","Without Sequence","43.87","",""
"20/01/2024 19:00:00 - 20/01/2024 20:00:00","BZN|SE1","Without Sequence","43.04","",""
"20/01/2024 20:00:00 - 20/01/2024 21:00:00","BZN|SE1","Without Sequence","41.70","",""
"20/01/2024 21:00:00 - 20/01/2024 22:00:00","BZN|SE1","Without Sequence","39.45","",""
"20/01/2024 22:00:00 - 20/01/2024 23:00:00","BZN|SE1","Without Sequence","37.12","",""
"20/01/2024 23:00:00 - 21/01/2024 00:00:00","BZN|SE1","Without Sequence","35.78","",""
"21/01/2024 00:00:00 - 21/01/2024 01:00:00","BZN|SE1","Without Sequence","34.78","",""
"21/01/2024 01:00:00 - 21/01/2024 02:00:00","BZN|SE1","Without Sequence","34.73","",""
"21/01/2024 02:00:00 - 21/01/2024 03:00:00","BZN|SE1","Without Sequence","34.64","",""
"21/01/2024 03:00:00 - 21/01/2024 04:00:00","BZN|SE1","Without Sequence","34.40","",""
"21/01/2024 04:00:00 - 21/01/2024 05:00:00","BZN|SE1","Without Sequence","34.28","",""
"21/01/2024 05:00:00 - 21/01/2024 06:00:00","BZN|SE1","Without Sequence","34.61","",""
"21/01/2024 06:00:00 - 21/01/2024 07:00:00","BZN|SE1","Without Sequence","34.30","",""
"21/01/2024 07:00:00 - 21/01/2024 08:00:00","BZN|SE1","Without Sequence","34.98","",""
"21/01/2024 08:00:00 - 21/01/2024 09:00:00","BZN|SE1","Without Sequence","34.83","",""
"21/01/2024 09:00:00 - 21/01/2024 10:00:00","BZN|SE1","Without Sequence","35.58","",""
"21/01/2024 10:00:00 - 21/01/2024 11:00:00","BZN|SE1","Without Sequence","36.88","",""
"21/01/2024 11:00:00 - 21/01/2024 12:00:00","BZN|SE1","Without Sequence","37.80","",""
"21/01/2024 12:00:00 - 21/01/2024 13:00:00","BZN|SE1","Without Sequence","37.31","",""
"21/01/2024 13:00:00 - 21/01/2024 14:00:00","BZN|SE1","Without Sequence","36.78","",""
"21/01/2024 14:00:00 - 21/01/2024 15:00:00","BZN|SE1","Without Sequence","37.04","",""
"21/01/2024 15:00:00 - 21/01/2024 16:00:00","BZN|SE1","Without Sequence","37.53","",""
"21/01/2024 16:00:00 - 21/01/2024 17:00:00","BZN|SE1","Without Sequence","37.41","",""
"21/01/2024 17:00:00 - 21/01/2024 18:00:00","BZN|SE1","Without Sequence","35.92","",""
"21/01/2024 18:00:00 - 21/01/2024 19:00:00","BZN|SE1","Without Sequence","35.53","",""
"21/01/2024 19:00:00 - 21/01/2024 20:00:00","BZN|SE1","Without Sequence","34.96","",""
"21/01/2024 20:00:00 - 21/01/2024 21:00:00","BZN|SE1","Without Sequence","34.67","",""
"21/01/2024 21:00:00 - 21/01/2024 22:00:00","BZN|SE1","Without Sequence","34.55","",""
"21/01/2024 22:00:00 - 21/01/2024 23:00:00","BZN|SE1","Without Sequence","34.83","",""
"21/01/2024 23:00:00 - 22/01/2024 00:00:00","BZN|SE1","Without Sequence","29.03","",""
"22/01/2024 00:00:00 - 22/01/2024 01:00:00","BZN|SE1","Without Sequence","27.30","",""
"22/01/2024 01:00:00 - 22/01/2024 02:00:00","BZN|SE1","Without Sequence","22.24","",""
"22/01/2024 02:00:00 - 22/01/2024 03:00:00","BZN|SE1","Without Sequence","18.62","",""
"22/01/2024 03:00:00 - 22/01/2024 04:00:00","BZN|SE1","Without Sequence","5.04","",""
"22/01/2024 04:00:00 - 22/01/2024 05:00:00","BZN|SE1","Without Sequence","5.06","",""
"22/01/2024 05:00:00 - 22/01/2024 06:00:00","BZN|SE1","Without Sequence","20.00","",""
"22/01/2024 06:00:00 - 22/01/2024 07:00:00","BZN|SE1","Without Sequence","26.05","",""
"22/01/2024 07:00:00 - 22/01/2024 08:00:00","BZN|SE1","Without Sequence","33.20","",""
"22/01/2024 08:00:00 - 22/01/2024 09:00:00","BZN|SE1","Without Sequence","33.08","",""
"22/01/2024 09:00:00 - 22/01/2024 10:00:00","BZN|SE1","Without Sequence","32.87","",""
"22/01/2024 10:00:00 - 22/01/2024 11:00:00","BZN|SE1","Without Sequence","31.69","",""
"22/01/2024 11:00:00 - 22/01/2024 12:00:00","BZN|SE1","Without Sequence","30.87","",""
"22/01/2024 12:00:00 - 22/01/2024 13:00:00","BZN|SE1","Without Sequence","30.60","",""
"22/01/2024 13:00:00 - 22/01/2024 14:00:00","BZN|SE1","Without Sequence","29.29","",""
"22/01/2024 14:00:00 - 22/01/2024 15:00:00","BZN|SE1","Without Sequence","28.58","",""
"22/01/2024 15:00:00 - 22/01/2024 16:00:00","BZN|SE1","Without Sequence","30.32","",""
"22/01/2024 16:00:00 - 22/01/2024 17:00:00","BZN|SE1","Without Sequence","31.62","",""
"22/01/2024 17:00:00 - 22/01/2024 18:00:00","BZN|SE1","Without Sequence","32.85","",""
"22/01/2024 18:00:00 - 22/01/2024 19:00:00","BZN|SE1","Without Sequence","32.44","",""
"22/01/2024 19:00:00 - 22/01/2024 20:00:00","BZN|SE1","Without Sequence","31.75","",""
"22/01/2024 20:00:00 - 22/01/2024 21:00:00","BZN|SE1","Without Sequence","31.41","",""
"22/01/2024 21:00:00 - 22/01/2024 22:00:00","BZN|SE1","Without Sequence","28.84","",""
"22/01/2024 22:00:00 - 22/01/2024 23:00:00","BZN|SE1","Without Sequence","26.07","",""
"22/01/2024 23:00:00 - 23/01/2024 00:00:00","BZN|SE1","Without Sequence","23.03","",""
"23/01/2024 00:00:00 - 23/01/2024 01:00:00","BZN|SE1","Without Sequence","15.84","",""
"23/01/2024 01:00:00 - 23/01/2024 02:00:00","BZN|SE1","Without Sequence","9.86","",""
"23/01/2024 02:00:00 - 23/01/2024 03:00:00","BZN|SE1","Without Sequence","9.14","",""
"23/01/2024 03:00:00 - 23/01/2024 04:00:00","BZN|SE1","Without Sequence","4.17","",""
"23/01/2024 04:00:00 - 23/01/2024 05:00:00","BZN|SE1","Without Sequence","10.22","",""
"23/01/2024 05:00:00 - 23/01/2024 06:00:00","BZN|SE1","Without Sequence","21.63","",""
"23/01/2024 06:00:00 - 23/01/2024 07:00:00","BZN|SE1","Without Sequence","25.73","",""
"23/01/2024 07:00:00 - 23/01/2024 08:00:00","BZN|SE1","Without Sequence","29.39","",""
"23/01/2024 08:00:00 - 23/01/2024 09:00:00","BZN|SE1","Without Sequence","33.62","",""
"23/01/2024 09:00:00 - 23/01/2024 10:00:00","BZN|SE1","Without Sequence","30.82","",""
"23/01/2024 10:00:00 - 23/01/2024 11:00:00","BZN|SE1","Without Sequence","29.92","",""
"23/01/2024 11:00:00 - 23/01/2024 12:00:00","BZN|SE1","Without Sequence","27.67","",""
"23/01/2024 12:00:00 - 23/01/2024 13:00:00","BZN|SE1","Without Sequence","26.58","",""
