,p_from_mw,q_from_mvar,p_to_mw,q_to_mvar,loading_percent,pl_mw
0,4.5489284426528025,1.5043449452125297,-4.466242538414455,-1.4376395702305296,96.48297761859035,0.08268590423834787
1,4.46624253841446,1.437639570230491,-4.335542565483795,-1.326589483467939,96.95880689646317,0.13069997293066482
2,1.712021252560355,0.38650439900041544,-1.7093022949459664,-0.3926419875089276,37.58066849278804,0.002718957614388673
3,1.2776522949459381,0.2844603000568083,-1.2762580275877116,-0.2916384414995848,28.091020878591692,0.0013942673582265641
4,0.5487580275877464,0.10930975478254903,-0.548050001340384,-0.13344205240263632,12.122901378665901,0.0007080262473624366
5,-0.07649999999997319,-0.047410441887819316,0.07651710050789454,0.020274457057557017,1.9368005020765313,1.7100507921349872e-05
6,1.4489619772141034,0.5715607646048644,-1.4478250833994706,-0.5751364372509404,33.550913931892985,0.0011368938146327778
7,0.8740750833993071,0.21955812309187384,-0.8731553030163964,-0.23072706188232203,19.47627818657234,0.0009197803829106288
8,0.3298553030163503,0.06946303821555612,-0.3298000113257898,-0.07472571326193257,7.2940885927542105,5.529169056051053e-05
9,2.1218213129235233,0.7312027712896182,-2.1123290777217307,-0.7389136956142758,48.14363655503498,0.009492235201792543
10,0.577971167200508,0.269173896944977,-0.5754269772359581,-0.2735244719343136,9.476242316810348,0.002544189964549859
11,0.5414269772359546,0.2524531644286947,-0.5400500040442597,-0.2552128568857734,8.90893909800328,0.0013769731916948302
12,1.3403274976402914e-09,-0.003912224924248455,1.0144096167234716e-13,-8.389490109990551e-14,0.08408214584845664,1.3404289386019638e-09
13,1.132592808544015e-08,-0.007929958049848812,-2.665303547157293e-14,-1.1424876460552013e-13,0.1710488189870657,1.132590143240468e-08
14,4.0442215905156745e-09,-0.002499948153812603,-2.2946806148505284e-14,1.6408982027709405e-14,0.03728654218208661,4.044198643709526e-09
