time,converged,min_voltage_pu,max_voltage_pu,max_line_loading_percent,max_trafo_loading_percent,line_losses_MW,trafo_losses_MW,total_losses_MW,total_base_load_MW,total_ev_charging_MW,total_depot_load_MW
2026-01-06 19:00:00+00:00,True,0.9923875384902903,1.03,27.466043975716136,61.03292459073826,0.04827636333471454,0.024024982758893643,0.07230134609360818,4.2347324184,0.0,4.2347324184
2026-01-06 20:00:00+00:00,True,0.9931155477614617,1.03,26.42572517206821,58.8893266335738,0.045729808599665724,0.022895491587279437,0.06862530018694515,3.678461538,0.0,3.678461538
2026-01-06 21:00:00+00:00,True,0.9931306180812419,1.03,26.404165150921028,58.844826537468386,0.045679432585181194,0.022872442219851408,0.06855187480503261,3.6668962785,0.0,3.6668962785
2026-01-06 22:00:00+00:00,True,0.9931639266717003,1.03,26.356509617319922,58.746453720955905,0.04556842973827576,0.022821546316366792,0.06838997605464256,3.6413273685000003,0.0,3.6413273685000003
2026-01-06 23:00:00+00:00,True,0.9946167307897462,1.03,25.11320492125415,56.75864427865926,0.04329320114664073,0.021770400115372013,0.06506360126201274,2.06684634,1.143652176,3.2104985160000004
2026-01-07 00:00:00+00:00,True,0.9944743476512292,1.03,25.625299100563193,58.01165666888889,0.04456733250191985,0.02238998914284629,0.06695732164476614,2.0143599466,1.553565217,3.5679251636
2026-01-07 01:00:00+00:00,True,0.9944498852092363,1.03,25.704574149123673,58.20224342901344,0.04476851826091009,0.022485493413785917,0.06725401167469601,2.0099684459,1.612,3.6219684459
2026-01-07 02:00:00+00:00,True,0.9945353880614358,1.03,25.581051954335297,57.950217807804016,0.04449591138857764,0.022356540036604144,0.06685245142518179,1.9439965951,1.612,3.5559965951
2026-01-07 03:00:00+00:00,True,0.9947554901529824,1.03,24.950369787469494,56.45010113253976,0.042977017675453574,0.021614489311554408,0.06459150698700798,1.9393261189000002,1.194,3.1333261189000003
2026-01-07 04:00:00+00:00,True,0.9934693818635203,1.03,25.91927921268506,57.8431588013281,0.04457230038868034,0.022357903024571968,0.06693020341325231,3.4063822877999996,0.0,3.4063822877999996
2026-01-07 05:00:00+00:00,True,0.9927949102604388,1.03,26.8842084728262,59.83490078204732,0.04682417546314947,0.02338909314017812,0.07021326860332759,3.9240425395000003,0.0,3.9240425395000003
2026-01-07 06:00:00+00:00,True,0.9928684733050428,1.03,26.779059434481272,59.6181648602433,0.04656929608430068,0.023275308039403697,0.06984460412370438,3.8677808338,0.0,3.8677808338
2026-01-07 07:00:00+00:00,True,0.9927083939523887,1.03,27.007841411824018,60.08964467059098,0.04712682213228801,0.02352332356515774,0.07065014569744575,3.9901492453,0.0,3.9901492453
2026-01-07 08:00:00+00:00,True,0.992689688109097,1.03,27.034567822792592,60.144701181645424,0.047192667623258966,0.023552403889134155,0.07074507151239312,4.0044335244,0.0,4.0044335244
2026-01-07 09:00:00+00:00,True,0.9927237704968537,1.03,26.985870614297113,60.04438132803788,0.04707280496607872,0.023499434476223158,0.07057223944230187,3.9784049738999996,0.0,3.9784049738999996
2026-01-07 10:00:00+00:00,True,0.9933556265569098,1.03,26.082151954461523,58.17980398661873,0.044938664863555175,0.022529915937962386,0.06746858080151756,3.4939771948000002,0.0,3.4939771948000002
2026-01-07 11:00:00+00:00,True,0.9933164767000416,1.03,26.138194446860552,58.29559546121945,0.04506601842121209,0.022589295294167755,0.06765531371537985,3.5240966736999995,0.0,3.5240966736999995
2026-01-07 12:00:00+00:00,True,0.9933187722660486,1.03,26.134908540773942,58.28880694434832,0.0450585331278055,0.02258581102844026,0.06764434415624576,3.5223309891,0.0,3.5223309891
2026-01-07 13:00:00+00:00,True,0.9932229210278386,1.03,26.2720935870137,58.57215962133226,0.04537297339143118,0.022731564847482844,0.06810453823891402,3.5960166159,0.0,3.5960166159
2026-01-07 14:00:00+00:00,True,0.9931397112159698,1.03,26.391155802640686,58.81797357243639,0.0456490828735603,0.0228585412374418,0.0685076241110021,3.6599170408000004,0.0,3.6599170408000004
2026-01-07 15:00:00+00:00,True,0.9923505126299174,1.03,27.518887577248357,61.141628208926676,0.04841175902029814,0.02408326183206988,0.07249502085236802,4.2628979534,0.0,4.2628979534
2026-01-07 16:00:00+00:00,True,0.9923314311061309,1.03,27.546118253504858,61.19763737758831,0.04848175693278112,0.02411332766937946,0.07259508460216058,4.2774085192,0.0,4.2774085192
2026-01-07 17:00:00+00:00,True,0.9923022690506257,1.03,27.587731089264246,61.283219776756894,0.048589023882026836,0.02415931805475502,0.07274834193678185,4.2995786243,0.0,4.2995786243
2026-01-07 18:00:00+00:00,True,0.9924139096295973,1.03,27.428402796522892,60.95548330207471,0.04818027479124892,0.023983523278053198,0.07216379806930212,4.2146645279,0.0,4.2146645279
2026-01-07 19:00:00+00:00,True,0.9923949354327102,1.03,27.455486198003992,61.01120435496765,0.04824938210816073,0.024013349518194005,0.07226273162635474,4.2291041192000005,0.0,4.2291041192000005
2026-01-07 20:00:00+00:00,True,0.9930996094635915,1.03,26.448525919189763,58.93638414031525,0.04578318988107393,0.02291988322227212,0.06870307310334606,3.6906906805,0.0,3.6906906805
2026-01-07 21:00:00+00:00,True,0.9931117304439484,1.03,26.4311861835306,58.90059770990768,0.04574258401424155,0.02290133215026735,0.0686439161645089,3.6813906984999996,0.0,3.6813906984999996
2026-01-07 22:00:00+00:00,True,0.9931479462746933,1.03,26.379373789996112,58.79365298232974,0.0456216271232912,0.022845956281670965,0.06846758340496217,3.6535957592,0.0,3.6535957592
2026-01-07 23:00:00+00:00,True,0.9944405165085908,1.03,25.674158990946594,58.11139516296579,0.04467517960525775,0.02244100942319527,0.06711618902845301,2.0404625013000004,1.553565217,3.5940277183000005
2026-01-08 00:00:00+00:00,True,0.994613385546078,1.03,25.118032252674688,56.76854881097637,0.043303277368604,0.02177536108510658,0.06507863845371059,2.0694392015,1.143652176,3.2130913774999996
2026-01-08 01:00:00+00:00,True,0.9944695616191317,1.03,25.67615193504621,58.144259691540746,0.04470551018243987,0.022455779008524246,0.06716128919096412,1.9947924815000002,1.612,3.6067924815000003
