time,line,loss_MW,loading_percent
2025-12-31 23:00:00+00:00,Line 1-2,0.0030735343127074044,18.886747230700724
2025-12-31 23:00:00+00:00,Line 2-3,0.005256976973746608,19.929518142127588
2025-12-31 23:00:00+00:00,Line 3-4,0.00036453416173509723,13.804827791306865
2025-12-31 23:00:00+00:00,Line 4-5,8.891621964041141e-05,7.124615899460217
2025-12-31 23:00:00+00:00,Line 5-6,6.279584611145611e-06,1.3894001723120362
2025-12-31 23:00:00+00:00,Line 7-8,0.00024838541990535035,6.876662550880937
2025-12-31 23:00:00+00:00,Line 8-9,0.00018287113018744527,13.458097172081704
2025-12-31 23:00:00+00:00,Line 9-10,0.00014018986413083523,7.612258575533083
2025-12-31 23:00:00+00:00,Line 10-11,1.093674330135408e-05,3.2863370340253835
2025-12-31 23:00:00+00:00,Line 3-8,0.00011452283190072077,5.506194452837984
2025-12-31 23:00:00+00:00,Line 12-13,0.01794305962791598,25.115660792296275
2025-12-31 23:00:00+00:00,Line 13-14,0.01075130445577277,24.86165514943043
2025-12-31 23:00:00+00:00,Line 6-7,2.8153144165821153e-05,6.093466245768172
2025-12-31 23:00:00+00:00,Line 11-4,1.77529889618111e-05,3.4721482902834806
2025-12-31 23:00:00+00:00,Line 14-8,0.0050709092836711545,20.877008780480352
2026-01-01 00:00:00+00:00,Line 1-2,0.002980816337643799,18.62274710718894
2026-01-01 00:00:00+00:00,Line 2-3,0.005129648028994627,19.71957402468858
2026-01-01 00:00:00+00:00,Line 3-4,0.000356071891373988,13.64652504115844
2026-01-01 00:00:00+00:00,Line 4-5,8.730684838686997e-05,7.061435076816867
2026-01-01 00:00:00+00:00,Line 5-6,7.471588421500974e-06,1.4870903503247237
2026-01-01 00:00:00+00:00,Line 7-8,0.000255099895704769,6.965759227581299
2026-01-01 00:00:00+00:00,Line 8-9,0.0001875948576743891,13.629967403766694
2026-01-01 00:00:00+00:00,Line 9-10,0.00014815963245368158,7.826851995120777
2026-01-01 00:00:00+00:00,Line 10-11,1.2516828128042445e-05,3.5116148209181914
2026-01-01 00:00:00+00:00,Line 3-8,0.00013399459834184668,5.93263768694104
2026-01-01 00:00:00+00:00,Line 12-13,0.018696223308530824,25.6366713962865
2026-01-01 00:00:00+00:00,Line 13-14,0.011208143126140158,25.383942738749095
2026-01-01 00:00:00+00:00,Line 6-7,2.9019149982822956e-05,6.185998682479091
2026-01-01 00:00:00+00:00,Line 11-4,1.8385955156519085e-05,3.5339350834472283
2026-01-01 00:00:00+00:00,Line 14-8,0.005341937749145709,21.42791415383856
2026-01-01 01:00:00+00:00,Line 1-2,0.0029690406368351185,18.589144451595736
2026-01-01 01:00:00+00:00,Line 2-3,0.005113736698240112,19.693510946961347
