time,depot,bus,loss_coefficient,base_loss_MW,perturbed_loss_MW,delta_p_MW
2025-12-31 23:00:00+00:00,ICA,1,0.004399532821678098,0.059566931823831964,0.05978690846491587,0.05
2025-12-31 23:00:00+00:00,Mathem,1,0.004399532821678098,0.059566931823831964,0.05978690846491587,0.05
2025-12-31 23:00:00+00:00,Postnord,1,0.004399532821678098,0.059566931823831964,0.05978690846491587,0.05
2025-12-31 23:00:00+00:00,Airmee,1,0.004399532821678098,0.059566931823831964,0.05978690846491587,0.05
2026-01-01 00:00:00+00:00,ICA,1,0.004362241217159835,0.05933398302031878,0.05955209508117677,0.05
2026-01-01 00:00:00+00:00,Mathem,1,0.004362241217159835,0.05933398302031878,0.05955209508117677,0.05
2026-01-01 00:00:00+00:00,Postnord,1,0.004362241217159835,0.05933398302031878,0.05955209508117677,0.05
2026-01-01 00:00:00+00:00,Airmee,1,0.004362241217159835,0.05933398302031878,0.05955209508117677,0.05
2026-01-01 01:00:00+00:00,ICA,1,0.004356275011136446,0.05929689125790849,0.05951470500846531,0.05
2026-01-01 01:00:00+00:00,Mathem,1,0.004356275011136446,0.05929689125790849,0.05951470500846531,0.05
2026-01-01 01:00:00+00:00,Postnord,1,0.004356275011136446,0.05929689125790849,0.05951470500846531,0.05
2026-01-01 01:00:00+00:00,Airmee,1,0.004356275011136446,0.05929689125790849,0.05951470500846531,0.05
2026-01-01 02:00:00+00:00,ICA,1,0.004304816614698198,0.058979006718276945,0.059194247549011855,0.05
2026-01-01 02:00:00+00:00,Mathem,1,0.004304816614698198,0.058979006718276945,0.059194247549011855,0.05
2026-01-01 02:00:00+00:00,Postnord,1,0.004304816614698198,0.058979006718276945,0.059194247549011855,0.05
2026-01-01 02:00:00+00:00,Airmee,1,0.004304816614698198,0.058979006718276945,0.059194247549011855,0.05
2026-01-01 03:00:00+00:00,ICA,1,0.004285946262723578,0.05886334780776451,0.05907764512090069,0.05
2026-01-01 03:00:00+00:00,Mathem,1,0.004285946262723578,0.05886334780776451,0.05907764512090069,0.05
2026-01-01 03:00:00+00:00,Postnord,1,0.004285946262723578,0.05886334780776451,0.05907764512090069,0.05
2026-01-01 03:00:00+00:00,Airmee,1,0.004285946262723578,0.05886334780776451,0.05907764512090069,0.05
2026-01-01 04:00:00+00:00,ICA,1,0.005423917926326849,0.06670567039343687,0.06697686628975322,0.05
