switch_scenario,line_removed,powerflow_converged,buses_isolated,min_voltage_pu,max_voltage_pu,max_line_loading_percent,max_trafo_loading_percent,total_losses_MW,voltage_limits_ok,line_limits_ok,trafo_limits_ok,electrical_limits_ok,full_supply_ok,feasible,failure_reason
AllClosed,Line 1-2,True,0,0.9750902629714867,1.03,38.28525422376725,54.759385570285005,0.10427402349927739,True,True,True,True,True,True,none
AllClosed,Line 2-3,True,0,0.9738540257937124,1.03,38.651609501209855,54.69880428729904,0.10586528700719282,True,True,True,True,True,True,none
AllClosed,Line 3-4,True,0,0.9920458794046212,1.03,26.36014654898839,58.0381008339854,0.0702207424391203,True,True,True,True,True,True,none
AllClosed,Line 4-5,True,0,0.9919764164538044,1.03,25.90508352790264,58.16929176129284,0.06846843507285275,True,True,True,True,True,True,none
AllClosed,Line 5-6,True,0,0.9940591859223762,1.03,25.72881031678646,58.22677960989691,0.06749323443300836,True,True,True,True,True,True,none
AllClosed,Line 7-8,True,0,0.9928790887195768,1.03,25.57371044126221,58.27449842901149,0.06798066179276735,True,True,True,True,True,True,none
AllClosed,Line 8-9,True,0,0.9923848911161145,1.03,25.256522287914475,58.34913353734892,0.068381546295198,True,True,True,True,True,True,none
AllClosed,Line 9-10,True,0,0.9939383220672794,1.03,25.459370535581776,58.287454278768195,0.06745102039711526,True,True,True,True,True,True,none
AllClosed,Line 10-11,True,0,0.9944330110566186,1.03,25.637305944195425,58.22951795968233,0.06720818673911307,True,True,True,True,True,True,none
AllClosed,Line 3-8,True,0,0.994229059581181,1.03,25.562693479829335,58.24189424212708,0.06711048868950337,True,True,True,True,True,True,none
AllClosed,Line 12-13,True,0,0.973897974833354,1.03,51.99365530503769,65.28060134018384,0.08845002940304471,True,True,True,True,True,True,none
AllClosed,Line 13-14,True,0,0.9743921627839334,1.03,51.60184068777789,65.20031114596753,0.08742003493150784,True,True,True,True,True,True,none
