time,depot,charging_MW,base_load_MW,total_depot_load_MW,availability,day,dt_h,charging_efficiency
2026-01-01 08:00:00+00:00,Postnord,0.0,1.272979417,1.272979417,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 09:00:00+00:00,Airmee,0.0,0.3721574764,0.3721574764,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 09:00:00+00:00,ICA,0.0,1.398347412,1.398347412,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 09:00:00+00:00,Mathem,0.0,0.9177179781,0.9177179781,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 09:00:00+00:00,Postnord,0.0,1.29074281,1.29074281,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 10:00:00+00:00,Airmee,0.0,0.3228280703,0.3228280703,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 10:00:00+00:00,ICA,0.0,1.27642518,1.27642518,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 10:00:00+00:00,Mathem,0.0,0.8437788792,0.8437788792,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 10:00:00+00:00,Postnord,0.0,1.096919047,1.096919047,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 11:00:00+00:00,Airmee,0.0,0.3509203018,0.3509203018,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 11:00:00+00:00,ICA,0.0,1.256576013,1.256576013,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 11:00:00+00:00,Mathem,0.0,0.8216485418,0.8216485418,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 11:00:00+00:00,Postnord,0.0,1.0871812420000002,1.0871812420000002,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 12:00:00+00:00,Airmee,0.0,0.3514468772,0.3514468772,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 12:00:00+00:00,ICA,0.0,1.281204177,1.281204177,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 12:00:00+00:00,Mathem,0.0,0.8471637775,0.8471637775,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 12:00:00+00:00,Postnord,0.0,1.111351845,1.111351845,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 13:00:00+00:00,Airmee,0.0,0.3666568042999999,0.3666568042999999,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 13:00:00+00:00,ICA,0.0,1.294397698,1.294397698,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 13:00:00+00:00,Mathem,0.0,0.8556446120000001,0.8556446120000001,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 13:00:00+00:00,Postnord,0.0,1.124228674,1.124228674,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 14:00:00+00:00,Airmee,0.0,0.3666990517,0.3666990517,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 14:00:00+00:00,ICA,0.0,1.306581987,1.306581987,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 14:00:00+00:00,Mathem,0.0,0.8448232215,0.8448232215,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 14:00:00+00:00,Postnord,0.0,1.125527913,1.125527913,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 15:00:00+00:00,Airmee,0.0,0.4161628624,0.4161628624,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 15:00:00+00:00,ICA,0.0,1.488973075,1.488973075,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 15:00:00+00:00,Mathem,0.0,0.9814775364,0.9814775364,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 15:00:00+00:00,Postnord,0.0,1.404707308,1.404707308,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 16:00:00+00:00,Airmee,0.0,0.4457613278,0.4457613278,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 16:00:00+00:00,ICA,0.0,1.490395731,1.490395731,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 16:00:00+00:00,Mathem,0.0,0.9723744266,0.9723744266,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 16:00:00+00:00,Postnord,0.0,1.382266253,1.382266253,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 17:00:00+00:00,Airmee,0.0,0.4360001159,0.4360001159,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 17:00:00+00:00,ICA,0.0,1.493556125,1.493556125,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 17:00:00+00:00,Mathem,0.0,0.9536007558,0.9536007558,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 17:00:00+00:00,Postnord,0.0,1.406295746,1.406295746,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 18:00:00+00:00,Airmee,0.0,0.4415421969,0.4415421969,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 18:00:00+00:00,ICA,0.0,1.460464089,1.460464089,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 18:00:00+00:00,Mathem,0.0,0.9708394098,0.9708394098,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 18:00:00+00:00,Postnord,0.0,1.3769311130000002,1.3769311130000002,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 19:00:00+00:00,Airmee,0.0,0.4316610635,0.4316610635,1.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 19:00:00+00:00,ICA,0.0,1.448290632,1.448290632,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 19:00:00+00:00,Mathem,0.0,0.9618961457,0.9618961457,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 19:00:00+00:00,Postnord,0.0,1.368814839,1.368814839,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 20:00:00+00:00,Airmee,0.0,0.3492068021,0.3492068021,1.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 20:00:00+00:00,ICA,0.0,1.325665078,1.325665078,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 20:00:00+00:00,Mathem,0.0,0.8464532493,0.8464532493,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 20:00:00+00:00,Postnord,0.0,1.147245984,1.147245984,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 21:00:00+00:00,Airmee,0.0,0.3624360426,0.3624360426,1.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 21:00:00+00:00,ICA,0.0,1.314806511,1.314806511,0.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 21:00:00+00:00,Mathem,0.0,0.8677897716,0.8677897716,1.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 21:00:00+00:00,Postnord,0.0,1.146717831,1.146717831,1.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 22:00:00+00:00,Airmee,0.0,0.3449676041,0.3449676041,1.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 22:00:00+00:00,ICA,0.0,1.29779457,1.29779457,1.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 22:00:00+00:00,Mathem,0.0,0.8467083461,0.8467083461,1.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 22:00:00+00:00,Postnord,0.0,1.1069823040000002,1.1069823040000002,1.0,2025-12-31 23:00:00+00:00,1.0,0.92
2026-01-01 23:00:00+00:00,Airmee,0.0,0.1924788926,0.1924788926,1.0,2026-01-01 23:00:00+00:00,1.0,0.92
