time,depot,bus,charger_power_MW,safe_charging_limit_MW,all_installed_feasible,min_voltage_pu_at_full_charge,max_line_loading_percent_at_full_charge,max_trafo_loading_percent_at_full_charge,full_charge_failure_reason
2025-12-31 23:00:00+00:00,ICA,1,0.776,0.776,True,0.9943743877434316,25.81360966754975,58.42464748410826,none
2025-12-31 23:00:00+00:00,Mathem,1,0.286,0.286,True,0.9943743877434316,25.81360966754975,58.42464748410826,none
2025-12-31 23:00:00+00:00,Postnord,1,0.418,0.418,True,0.9943743877434316,25.81360966754975,58.42464748410826,none
2025-12-31 23:00:00+00:00,Airmee,1,0.132,0.132,True,0.9943743877434316,25.81360966754975,58.42464748410826,none
2026-01-01 00:00:00+00:00,ICA,1,0.776,0.776,True,0.9944363107968531,25.72418093836623,58.24224057227283,none
2026-01-01 00:00:00+00:00,Mathem,1,0.286,0.286,True,0.9944363107968531,25.72418093836623,58.24224057227283,none
2026-01-01 00:00:00+00:00,Postnord,1,0.418,0.418,True,0.9944363107968531,25.72418093836623,58.24224057227283,none
2026-01-01 00:00:00+00:00,Airmee,1,0.132,0.132,True,0.9944363107968531,25.72418093836623,58.24224057227283,none
2026-01-01 01:00:00+00:00,ICA,1,0.776,0.776,True,0.9944462165649348,25.70987321091777,58.21305351513922,none
2026-01-01 01:00:00+00:00,Mathem,1,0.286,0.286,True,0.9944462165649348,25.70987321091777,58.21305351513922,none
2026-01-01 01:00:00+00:00,Postnord,1,0.418,0.418,True,0.9944462165649348,25.70987321091777,58.21305351513922,none
2026-01-01 01:00:00+00:00,Airmee,1,0.132,0.132,True,0.9944462165649348,25.70987321091777,58.21305351513922,none
2026-01-01 02:00:00+00:00,ICA,1,0.776,0.776,True,0.994531640094348,25.58646728443847,57.96126847972201,none
2026-01-01 02:00:00+00:00,Mathem,1,0.286,0.286,True,0.994531640094348,25.58646728443847,57.96126847972201,none
2026-01-01 02:00:00+00:00,Postnord,1,0.418,0.418,True,0.994531640094348,25.58646728443847,57.96126847972201,none
2026-01-01 02:00:00+00:00,Airmee,1,0.132,0.132,True,0.994531640094348,25.58646728443847,57.96126847972201,none
2026-01-01 03:00:00+00:00,ICA,1,0.776,0.776,True,0.9945629597551263,25.54121214483049,57.86891496857551,none
2026-01-01 03:00:00+00:00,Mathem,1,0.286,0.286,True,0.9945629597551263,25.54121214483049,57.86891496857551,none
2026-01-01 03:00:00+00:00,Postnord,1,0.418,0.418,True,0.9945629597551263,25.54121214483049,57.86891496857551,none
2026-01-01 03:00:00+00:00,Airmee,1,0.132,0.132,True,0.9945629597551263,25.54121214483049,57.86891496857551,none
2026-01-01 04:00:00+00:00,ICA,1,0.776,0.776,True,0.9926686111813537,28.26827623999878,63.41721872018344,none
2026-01-01 04:00:00+00:00,Mathem,1,0.286,0.286,True,0.9926686111813537,28.26827623999878,63.41721872018344,none
2026-01-01 04:00:00+00:00,Postnord,1,0.418,0.418,True,0.9926686111813537,28.26827623999878,63.41721872018344,none
2026-01-01 04:00:00+00:00,Airmee,1,0.132,0.132,True,0.9926686111813537,28.26827623999878,63.41721872018344,none
2026-01-01 05:00:00+00:00,ICA,1,0.776,0.776,True,0.991974769628353,29.261592580370767,65.43035869360746,none
2026-01-01 05:00:00+00:00,Mathem,1,0.286,0.286,True,0.991974769628353,29.261592580370767,65.43035869360746,none
2026-01-01 05:00:00+00:00,Postnord,1,0.418,0.418,True,0.991974769628353,29.261592580370767,65.43035869360746,none
2026-01-01 05:00:00+00:00,Airmee,1,0.132,0.132,True,0.991974769628353,29.261592580370767,65.43035869360746,none
2026-01-01 06:00:00+00:00,ICA,1,0.776,0.776,True,0.9919737713066246,29.263020035769056,65.43324797039566,none
2026-01-01 06:00:00+00:00,Mathem,1,0.286,0.286,True,0.9919737713066246,29.263020035769056,65.43324797039566,none
2026-01-01 06:00:00+00:00,Postnord,1,0.418,0.418,True,0.9919737713066246,29.263020035769056,65.43324797039566,none
2026-01-01 06:00:00+00:00,Airmee,1,0.132,0.132,True,0.9919737713066246,29.263020035769056,65.43324797039566,none
2026-01-01 07:00:00+00:00,ICA,1,0.776,0.776,True,0.9918446194670845,29.447628878229864,65.80685445713029,none
2026-01-01 07:00:00+00:00,Mathem,1,0.286,0.286,True,0.9918446194670845,29.447628878229864,65.80685445713029,none
