scenario,electricity_cost_EUR,grid_energy_MWh,peak_ev_charging_MW,peak_total_depot_load_MW,min_voltage_pu,max_line_loading_percent,max_trafo_loading_percent,network_losses_MWh,failed_powerflows,min_voltage_during_EV_charging_pu,max_line_loading_during_EV_charging_percent,max_trafo_loading_during_EV_charging_percent,n1_total_cases,n1_electrical_limits_ok_cases,n1_electrical_limit_violation_cases,n1_full_supply_ok_cases,n1_islanding_cases
uncontrolled,4896.751727826087,99.61304347826088,1.612,4.3501263248,0.9922357428047957,27.68264501026698,61.478384450122356,22.908621020814586,0,0.9942995597528408,25.921647976345735,58.64495910587014,12,12,0,12,0
cost_optimized,4759.59641601447,99.613043502,1.612,5.2655957592,0.9922357428047957,28.80814335603939,64.51199420778498,22.915491362676235,0,0.992291723235268,28.80814335603939,64.51199420778498,12,12,0,12,0
loss_optimized,4957.74417337684,99.61304350200001,1.612,4.3501263248,0.9922357428047955,27.68264501026698,61.478384450122356,22.90192787794102,0,0.9944119690345463,25.715383390301806,58.21305351513922,12,12,0,12,0
